name,elected,party,constituency,votes,history,club,dob,education,expired,history-mp,history-senate,recent-mp,recent-senate,total-mp,total-senate,party_name,party_acronym
Piotr Babinetz,09-10-2011,Prawo i Sprawiedliwość,22 Krosno,7239,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"09-09-1969, Krosno",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Marek Balt,09-10-2011,Sojusz Lewicy Demokratycznej,28 Częstochowa,5378,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"08-04-1973, Częstochowa",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Maciej Banaszak,09-10-2011,Ruch Palikota,39 Poznań,18837,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"13-06-1975, Poznań",średnie zawodowe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Anna Bańkowska,09-10-2011,Sojusz Lewicy Demokratycznej,4 Bydgoszcz,16203,"poseł X kadencji, poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"30-04-1946, Żnin",wyższe,None,1:1:1:1:0:1:1,0:0:0:0:0:0:0:1,3,1,7,1,Sojusz Lewicy Demokratycznej,SLD
Dariusz Barski,09-10-2011,Prawo i Sprawiedliwość,9 Łódź,12245,brak,,"27-02-1968,",,2011-10-27,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,,
Barbara Bartuś,09-10-2011,Prawo i Sprawiedliwość,14 Nowy Sącz,14652,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"03-07-1967, Gorlice",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Piotr Paweł Bauć,09-10-2011,Ruch Palikota,25 Gdańsk,13398,brak,Koło Poselskie Ruch Palikota,"29-06-1960, Gdańsk",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Ruch Palikota,RP
Dariusz Bąk,09-10-2011,Prawo i Sprawiedliwość,17 Radom,10217,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"04-01-1958, Mogielnica",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Włodzimierz Bernacki,09-10-2011,Prawo i Sprawiedliwość,15 Tarnów,18699,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"17-02-1960, Proszowice",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Andrzej Bętkowski,09-10-2011,Prawo i Sprawiedliwość,33 Kielce,4591,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"28-12-1951, Skarżysko-Kamienna",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Robert Biedroń,09-10-2011,Ruch Palikota,26 Gdynia,16919,brak,Klub Poselski Twój Ruch,"13-04-1976, Rymanów",wyższe,2014-12-08,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,,
Marek Biernacki,09-10-2011,Platforma Obywatelska,26 Gdynia,66019,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"28-04-1959, Sopot",wyższe,None,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1,Platforma Obywatelska,PO
Andrzej Biernat,09-10-2011,Platforma Obywatelska,11 Sieradz,25721,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"11-08-1960, Urzędów",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Leszek Blanik,09-10-2011,Platforma Obywatelska,25 Gdańsk,15031,brak,Klub Parlamentarny Platforma Obywatelska,"01-03-1977, Wodzisław Śląski",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Mariusz Błaszczak,09-10-2011,Prawo i Sprawiedliwość,20 Warszawa,44319,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"19-09-1969, Legionowo",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Joanna Bobowska,09-10-2011,Platforma Obywatelska,12 Kraków,7976,brak,Klub Parlamentarny Platforma Obywatelska,"17-04-1967, Kraków",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Bartłomiej Bodio,09-10-2011,Ruch Palikota,18 Siedlce,8740,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"24-08-1972, Kędzierzyn-Koźle",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Jacek Bogucki,09-10-2011,Prawo i Sprawiedliwość,24 Białystok,10927,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"13-02-1959, Wysokie Mazowieckie",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Edmund Borawski,09-10-2011,Polskie Stronnictwo Ludowe,24 Białystok,11759,"poseł IV kadencji, poseł V kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"17-04-1946, Świdry Podleśne",wyższe,None,0:0:0:1:1:0:1,0:0:0:0:0:0:0:1,2,1,4,1,Polskie Stronnictwo Ludowe,PSL
Jerzy Borkowski,09-10-2011,Ruch Palikota,32 Sosnowiec,20292,brak,Koło Poselskie Ruch Palikota,"29-08-1957, Lipnica",zasadnicze zawodowe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Ruch Palikota,RP
Krzysztof Borkowski,09-10-2011,Polskie Stronnictwo Ludowe,18 Siedlce,6868,"senator III kadencji, senator V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"10-08-1964, Siedlce",wyższe,None,0:0:0:0:0:1:1,0:0:1:0:1:0:0:1,3,1,3,3,Polskie Stronnictwo Ludowe,PSL
Jerzy Borowczak,09-10-2011,Platforma Obywatelska,25 Gdańsk,10504,"poseł III kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"15-11-1957, Białogard",średnie zawodowe,None,0:0:1:0:0:1:1,0:0:0:0:0:0:0:1,3,1,4,1,Platforma Obywatelska,PO
Łukasz Borowiak,09-10-2011,Platforma Obywatelska,36 Kalisz,11545,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"11-04-1975, Leszno",wyższe,2014-12-01,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Artur Bramora,09-10-2011,Ruch Palikota,28 Częstochowa,10610,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"10-10-1972, Myszków",średnie policealne/pomaturalne,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Krzysztof Brejza,09-10-2011,Platforma Obywatelska,4 Bydgoszcz,12600,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"16-05-1983, Bydgoszcz",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Joachim Brudziński,09-10-2011,Prawo i Sprawiedliwość,41 Szczecin,38700,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"04-02-1968, Świerklaniec",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Jacek Brzezinka,09-10-2011,Platforma Obywatelska,29 Gliwice,10775,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"30-08-1966, Bytom",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Beata Bublewicz,09-10-2011,Platforma Obywatelska,35 Olsztyn,23262,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"26-02-1975, Olsztyn",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Barbara Bubula,09-10-2011,Prawo i Sprawiedliwość,13 Kraków,7502,poseł V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"04-03-1963, Kraków",wyższe,None,0:0:0:0:1:0:1,0:0:0:0:0:0:0:1,2,1,3,1,Prawo i Sprawiedliwość,PiS
Borys Budka,09-10-2011,Platforma Obywatelska,29 Gliwice,10260,brak,Klub Parlamentarny Platforma Obywatelska,"11-03-1978, Czeladź",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Jerzy Budnik,09-10-2011,Platforma Obywatelska,26 Gdynia,8546,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"30-05-1951, Wejherowo",wyższe,None,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1,Platforma Obywatelska,PO
Bożenna Bukiewicz,09-10-2011,Platforma Obywatelska,8 Zielona Góra,38017,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"14-02-1952, Żary",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Andrzej Buła,09-10-2011,Platforma Obywatelska,21 Opole,9167,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"28-08-1965, Kluczbork",wyższe,2013-11-12,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Jan Bury,09-10-2011,Polskie Stronnictwo Ludowe,23 Rzeszów,15649,"poseł I kadencji, poseł II kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"01-10-1963, Przeworsk",wyższe,None,1:1:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,7,1,Polskie Stronnictwo Ludowe,PSL
Renata Butryn,09-10-2011,Platforma Obywatelska,23 Rzeszów,8941,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"31-05-1959, Dębica",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Jan Cedzyński,09-10-2011,Ruch Palikota,33 Kielce,14796,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"28-02-1961, Mąchocice Kapitulne",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Jarosław Charłampowicz,09-10-2011,Platforma Obywatelska,3 Wrocław,8399,brak,Klub Parlamentarny Platforma Obywatelska,"19-12-1969, Brzeg Dolny",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Zbigniew Chmielowiec,09-10-2011,Prawo i Sprawiedliwość,23 Rzeszów,16038,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"22-09-1954, Kolbuszowa",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Piotr Chmielowski,09-10-2011,Ruch Palikota,30 Rybnik,9925,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"27-04-1965, Chorzów",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Małgorzata Chomycz,09-10-2011,Platforma Obywatelska,22 Krosno,16829,brak,Klub Parlamentarny Platforma Obywatelska,"27-01-1978, Lesko",wyższe,2011-12-12,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Janusz Cichoń,09-10-2011,Platforma Obywatelska,35 Olsztyn,13902,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"07-01-1957, Bytom",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Piotr Cieśliński,09-10-2011,Platforma Obywatelska,34 Elbląg,15547,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"08-08-1978, Olsztyn",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Marian Cycoń,09-10-2011,Platforma Obywatelska,14 Nowy Sącz,10678,poseł III kadencji,Klub Parlamentarny Platforma Obywatelska,"17-07-1940, Barcice",wyższe,None,0:0:1:0:0:0:1,0:0:0:0:0:0:0:1,2,1,3,1,Platforma Obywatelska,PO
Barbara Czaplicka,09-10-2011,Platforma Obywatelska,20 Warszawa,8340,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"22-11-1948, Warszawa",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Witold Czarnecki,09-10-2011,Prawo i Sprawiedliwość,37 Konin,10201,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"12-04-1953, Murowana Goślina",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Arkadiusz Czartoryski,09-10-2011,Prawo i Sprawiedliwość,18 Siedlce,17516,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"14-04-1966, Ostrołęka",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Czesław Czechyra,09-10-2011,Platforma Obywatelska,17 Radom,4347,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"12-01-1954, Potok Górny",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Jacek Czerniak,09-10-2011,Sojusz Lewicy Demokratycznej,6 Lublin,5965,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"30-08-1964, Świdnik",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Zofia Czernow,09-10-2011,Platforma Obywatelska,1 Legnica,7740,brak,Klub Parlamentarny Platforma Obywatelska,"30-09-1950, Wola Obszańska",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Andrzej Czerwiński,09-10-2011,Platforma Obywatelska,14 Nowy Sącz,16723,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"08-11-1954, Nowy Sącz",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Edward Czesak,09-10-2011,Prawo i Sprawiedliwość,15 Tarnów,18787,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"22-02-1951, Tarnów",wyższe,2015-06-11,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Eugeniusz Czykwin,09-10-2011,Sojusz Lewicy Demokratycznej,24 Białystok,14286,"poseł IX kadencji, poseł X kadencji, poseł I kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"12-09-1949, Orla",wyższe,None,1:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,6,1,Sojusz Lewicy Demokratycznej,SLD
Alicja Dąbrowska,09-10-2011,Platforma Obywatelska,19 Warszawa,4622,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"28-06-1956, Ostrowiec Świętokrzyski",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Andrzej Dera,09-10-2011,Prawo i Sprawiedliwość,36 Kalisz,17606,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Zjednoczona Prawica,"10-09-1961, Ostrów Wielkopolski",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Zjednoczona Prawica,ZP
Artur Dębski,09-10-2011,Ruch Palikota,20 Warszawa,15269,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"26-12-1969, Siestrzeń",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Leszek Dobrzyński,09-10-2011,Prawo i Sprawiedliwość,41 Szczecin,6107,poseł V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"05-06-1967, Szczecin",wyższe,None,0:0:0:0:1:0:1,0:0:0:0:0:0:0:1,2,1,3,1,Prawo i Sprawiedliwość,PiS
Zbigniew Dolata,09-10-2011,Prawo i Sprawiedliwość,37 Konin,11939,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"01-12-1965, Koźmin",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Marek Domaracki,09-10-2011,Ruch Palikota,10 Piotrków Trybunalski,9986,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"11-10-1964, Piotrków Trybunalski",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Ludwik Dorn,09-10-2011,Prawo i Sprawiedliwość,20 Warszawa,18683,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Poseł niezrzeszony,"05-06-1954, Warszawa",wyższe,None,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1,Niezrzeszony,nz.
Ewa Drozd,09-10-2011,Platforma Obywatelska,1 Legnica,14205,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"08-10-1963, Stąporków",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Andrzej Duda,09-10-2011,Prawo i Sprawiedliwość,13 Kraków,79981,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"16-05-1972, Kraków",wyższe,2014-05-27,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Artur Dunin,09-10-2011,Platforma Obywatelska,11 Sieradz,9595,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"10-03-1969, Lublin",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Zenon Durka,09-10-2011,Platforma Obywatelska,20 Warszawa,7988,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"21-10-1958, Legionowo",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Dariusz Cezar Dziadzio,09-10-2011,Ruch Palikota,23 Rzeszów,11091,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"25-02-1975, Rzeszów",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Jan Dziedziczak,09-10-2011,Prawo i Sprawiedliwość,36 Kalisz,15954,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"03-08-1981, Warszawa",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Janusz Dzięcioł,09-10-2011,Platforma Obywatelska,5 Toruń,13907,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"11-12-1953, Dąbrowa Chełmińska",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Waldy Dzikowski,09-10-2011,Platforma Obywatelska,39 Poznań,54647,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"23-07-1959, Wschowa",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Tadeusz Dziuba,09-10-2011,Prawo i Sprawiedliwość,39 Poznań,28508,poseł X kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"17-12-1948, Poznań",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Wincenty Elsner,09-10-2011,Ruch Palikota,3 Wrocław,15969,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"03-01-1955, Radom",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Joanna Fabisiak,09-10-2011,Platforma Obywatelska,19 Warszawa,6739,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"07-07-1950, Warszawa",wyższe,None,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1,Platforma Obywatelska,PO
Jacek Falfus,09-10-2011,Prawo i Sprawiedliwość,27 Bielsko-Biała,11391,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"01-02-1951, Siemianowice Śląskie",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Prawo i Sprawiedliwość,PiS
Jerzy Fedorowicz,09-10-2011,Platforma Obywatelska,13 Kraków,28383,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"29-10-1947, Polanica-Zdrój",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
